Day 3,Irradiance(W/m˛),,,,,,
,Actual,,SVR,,LSTM,,ANN-GA
0,0,0,0,0,0,0,0
5.10577,0,5.10577,0,0.682179999999995,0,5.11933999999999,0
5.78841,46.4368134324766,5.99311,36.3257416820861,5.20122,0,5.73366999999999,72.9347945714305
7.18083,299.213607192235,6.785,195.662286162376,6.17067,32.1418499233039,6.348,174.742827368465
8.2731,551.641743305429,7.78159,480.864241052697,7.05801,211.003222611244,7.76802,432.749485826701
9.05141999999999,791.518204142276,9.95233,887.747714594267,7.94535,453.320286974047,9.28349,797.445384133885
10.14346,963.406423898913,10.94915,978.398702701215,9.46082,779.315186512495,10.43027,946.670856863784
11.03103,1039.06513320356,11.34498,921.187963873737,10.07538,885.307111068311,10.96272,930.5557473913
11.82292,1041.85439437608,11.93194,965.847027424869,11.05817,900.475560431699,11.85006,975.958099175259
12.91496,963.406423898913,13.72065,723.863178313236,11.85006,898.904759284353,12.99707,851.487319351488
13.80253,799.18867236671,15.0995,440.419954051135,13.09252,817.667527634665,14.33498,625.208506730683
15.19495,480.864241052697,15.98684,238.547176689893,13.97986,736.081638338412,15.3042,401.021639989269
16.08252,235.757915517372,16.77873,16.1035981813054,15.22232,450.879683448091,16.46478,163.237125031813
16.87441,13.6629946553492,17.6663,0,15.93233,226.692816706677,17.96668,0
18.36251,0,22.977,0,16.72422,18.5442017072617,22.977,0
22.977,0,,,17.69344,0,,
,,,,22.84061,0,,
,,,,22.977,0,,
